月ノ美兎	UCD-miitqNY3nyukJ4Fnf4_A	UUD-miitqNY3nyukJ4Fnf4_A	https://yt3.ggpht.com/a/AGF-l7-_h5zNb12kC6RvqaIeU4D76RSvNkZiys12VQ=s240-mo-c-c0xffffffff-rj-k-no
Shizuka Rin Official	UC6oDys1BGgBsIC3WhG1BovQ	UU6oDys1BGgBsIC3WhG1BovQ	https://yt3.ggpht.com/a/AGF-l79T78V0-9yOApYDZHpHN7A5Fke0uJiTcEJWAg=s240-mo-c-c0xffffffff-rj-k-no
樋口楓【にじさんじ所属】	UCsg-YqdqQ-KFF0LNk23BY4A	UUsg-YqdqQ-KFF0LNk23BY4A	https://yt3.ggpht.com/a/AGF-l7-OQI7tY9x5HmzP4nLXKyjsgjCatrfwnLWsDg=s240-mo-c-c0xffffffff-rj-k-no
本間ひまわり - Himawari Honma -	UC0g1AE0DOjBYnLhkgoRWN1w	UU0g1AE0DOjBYnLhkgoRWN1w	https://yt3.ggpht.com/a/AGF-l7-YR3ZppjnCTwbgTvuZcPH6pXVfoRUlUXVZ=s240-mo-c-c0xffffffff-rj-k-no
椎名唯華	UC_4tXjqecqox5Uc05ncxpxg	UU_4tXjqecqox5Uc05ncxpxg	https://yt3.ggpht.com/a/AGF-l7_ElOeLPWELh-w_O_LNx4MV1O_MM3pH7XNqFg=s240-mo-c-c0xffffffff-rj-k-no
鈴鹿詩子 Utako Suzuka	UCwokZsOK_uEre70XayaFnzA	UUwokZsOK_uEre70XayaFnzA	https://yt3.ggpht.com/a/AGF-l79FVhOlqpIAgv94IbSVMRFw7inrg6WF1DPcrQ=s240-mo-c-c0xffffffff-rj-k-no
笹木咲 / Sasaki Saku	UCoztvTULBYd3WmStqYeoHcA	UUoztvTULBYd3WmStqYeoHcA	https://yt3.ggpht.com/a/AGF-l79Vb9rz5ACtGW1YTCpnj5XFlqpwT6q1-SD7=s240-mo-c-c0xffffffff-rj-k-no
♥️♠️物述有栖♦️♣️	UCt0clH12Xk1-Ej5PXKGfdPA	UUt0clH12Xk1-Ej5PXKGfdPA	https://yt3.ggpht.com/a/AGF-l7_OXxl-HOWIQaxDv8KNbYNQOWl6lu0hBflqnw=s240-mo-c-c0xffffffff-rj-k-no
シスター・クレア -SisterClaire-	UC1zFJrfEKvCixhsjNSb1toQ	UU1zFJrfEKvCixhsjNSb1toQ	https://yt3.ggpht.com/a/AGF-l78y7eBRq0GSwxGNZXOaXyAwTLT-BxoK5ohpqw=s240-mo-c-c0xffffffff-rj-k-no
エルフのえる / にじさんじ所属	UCYKP16oMX9KKPbrNgo_Kgag	UUYKP16oMX9KKPbrNgo_Kgag	https://yt3.ggpht.com/a/AGF-l7_AQCRUteV-qi7_TTquMFXOi4wf_CotKkpDRQ=s240-mo-c-c0xffffffff-rj-k-no
剣持刀也	UCv1fFr156jc65EMiLbaLImw	UUv1fFr156jc65EMiLbaLImw	https://yt3.ggpht.com/a/AGF-l78JwRlRIlR82frAXYbjZ_a6yHSj8njkMMBQvA=s240-mo-c-c0xffffffff-rj-k-no
Kanae Channel	UCspv01oxUFf_MTSipURRhkA	UUspv01oxUFf_MTSipURRhkA	https://yt3.ggpht.com/a/AGF-l7_F1Nm7zCNWWmeQM2gunrs46MdudkohaXv0Bg=s240-mo-c-c0xffffffff-rj-k-no
ちひろチャンネル	UCLO9QDxVL4bnvRRsz6K4bsQ	UULO9QDxVL4bnvRRsz6K4bsQ	https://yt3.ggpht.com/a/AGF-l78XVY6iapZNwq26ipDHk4eLu3kBys3nIl8c1w=s240-mo-c-c0xffffffff-rj-k-no
竜胆 尊 / Rindou Mikoto	UCPvGypSgfDkVe7JG2KygK7A	UUPvGypSgfDkVe7JG2KygK7A	https://yt3.ggpht.com/a/AGF-l7-vJk9vwuWozWErKkcbyJntlVUyq7O5QSR8Eg=s240-mo-c-c0xffffffff-rj-k-no
緑仙channel	UCt5-0i4AVHXaWJrL8Wql3mw	UUt5-0i4AVHXaWJrL8Wql3mw	https://yt3.ggpht.com/a/AGF-l7-fHgYkFvGTK5Ts-9YHhADdKaG6krCWL910oA=s240-mo-c-c0xffffffff-rj-k-no
家長むぎ【にじさんじ所属】	UC_GCs6GARLxEHxy1w40d6VQ	UU_GCs6GARLxEHxy1w40d6VQ	https://yt3.ggpht.com/a/AGF-l7-zIf7VFqw2EDC3l7y_UpaxfdrAu-YEQcRGJA=s240-mo-c-c0xffffffff-rj-k-no
夢月ロア🌖Yuzuki Roa	UCCVwhI5trmaSxfcze_Ovzfw	UUCVwhI5trmaSxfcze_Ovzfw	https://yt3.ggpht.com/a/AGF-l79gkgR05I6pSCM2VQUZfalk4YV0WemNwfXGzg=s240-mo-c-c0xffffffff-rj-k-no
宇志海いちご	UCmUjjW5zF1MMOhYUwwwQv9Q	UUmUjjW5zF1MMOhYUwwwQv9Q	https://yt3.ggpht.com/a/AGF-l78PzRxSDQxi2jCtQxYT4-3GMelm5z6ydptlvw=s240-mo-c-c0xffffffff-rj-k-no
森中花咲	UCtpB6Bvhs1Um93ziEDACQ8g	UUtpB6Bvhs1Um93ziEDACQ8g	https://yt3.ggpht.com/a/AGF-l7-uPpMX0WRu64RHt2j3xPajkRteDGLuDWFR3A=s240-mo-c-c0xffffffff-rj-k-no
Kuzuha Channel	UCSFCh5NL4qXrAy9u-u2lX3g	UUSFCh5NL4qXrAy9u-u2lX3g	https://yt3.ggpht.com/a/AGF-l7-HFAksxujKK1d-wpknr9W3aXEFBnzFLjXjmQ=s240-mo-c-c0xffffffff-rj-k-no
鷹宮リオン	UCV5ZZlLjk5MKGg3L0n0vbzw	UUV5ZZlLjk5MKGg3L0n0vbzw	https://yt3.ggpht.com/a/AGF-l78hx6ii25kXsCTWBDWaHvlYNPk44NzKdDnIkQ=s240-mo-c-c0xffffffff-rj-k-no
